timestamp,sensor_id,value
2026-09-01T09:00:00,TEMP_A,20
2026-09-01T09:00:00,TEMP_B,30
2026-09-01T09:01:00,TEMP_A,21
2026-09-01T09:01:00,TEMP_B,31
2026-09-01T09:02:00,TEMP_A,19
2026-09-01T09:02:00,TEMP_B,29
2026-09-01T09:03:00,TEMP_A,20
2026-09-01T09:03:00,TEMP_B,36
2026-09-01T09:04:00,TEMP_A,28
2026-09-01T09:04:00,TEMP_B,30
2026-09-01T09:05:00,TEMP_A,21
2026-09-01T09:05:00,TEMP_B,31
2026-09-01T09:06:00,TEMP_A,20
2026-09-01T09:06:00,TEMP_B,22
2026-09-01T09:07:00,TEMP_A,19
2026-09-01T09:07:00,TEMP_B,30
2026-09-01T09:08:00,TEMP_A,12
2026-09-01T09:08:00,TEMP_B,31
2026-09-01T09:09:00,TEMP_A,20
2026-09-01T09:09:00,TEMP_B,30
2026-09-01T09:10:00,TEMP_A,21
2026-09-01T09:10:00,TEMP_B,38
2026-09-01T09:11:00,TEMP_A,22
2026-09-01T09:11:00,TEMP_B,30
